state,id,status,recreational,medical,ballot,cbd,hemp,decriminalization,mandatorysentencing,statelink
Alabama,1,0,Not legal,Not legal,No,2014,,No,Yes,http://www.thecannabist.co/tag/alabama/
Alaska,2,2,Voter approved, 2014,Voter approved, 1998,No,No,,No,No,http://www.thecannabist.co/tag/alaska/
Arizona,4,1,Not legal,Voter approved, 2010,Recreational measure,No,,No,No,http://www.thecannabist.co/tag/arizona/
Arkansas,5,0,Not legal,Not legal,Medical measures,No,,No,Yes,http://www.thecannabist.co/tag/arkansas/
California,6,1,Not legal,Voter approved, 1996,Recreational measure,No,Yes,Yes,No,http://www.thecannabist.co/tag/california/
Colorado,8,2,Voter approved, 2012,Voter approved, 2000,No,No,Yes,Yes,No,http://www.thecannabist.co/tag/colorado/
Connecticut,9,1,Not legal,Legislation, 2012,No,No,Yes,Yes,Yes,http://www.thecannabist.co/tag/connecticut/
Delaware,10,1,Not legal,Legislation, 2011,No,No,Yes,Yes,Yes,http://www.thecannabist.co/tag/delaware/
Washington DC,11,2,Voter approved, 2014,Voter approved, 1998,No,No,Yes,No,Yes,http://www.thecannabist.co/tag/washington-d-c/
Florida,12,0,Not legal,Not legal,Medical measure,2014,,No,Yes,http://www.thecannabist.co/tag/florida/
Georgia,13,0,Not legal,Not legal,No,2015,,No,Yes,http://www.thecannabist.co/tag/georgia/
Hawaii,15,1,Not legal,Legislation, 2000,No,No,Yes,No,No,http://www.thecannabist.co/tag/hawaii/
Idaho,16,0,Not legal,Not legal,No,No,,No,Yes,http://www.thecannabist.co/tag/idaho/
Illinois,17,1,Not legal,Legislation, 2013,No,No,Yes,Yes,Yes,http://www.thecannabist.co/tag/illinois/
Indiana,18,0,Not legal,Not legal,No,No,Yes,No,No,http://www.thecannabist.co/tag/indiana/
Iowa,19,0,Not legal,Not legal,No,2014,,No,Yes,http://www.thecannabist.co/tag/iowa/
Kansas,20,0,Not legal,Not legal,No,No,,No,Yes,http://www.thecannabist.co/tag/kansas/
Kentucky,21,0,Not legal,Not legal,No,2014,Yes,No,No,http://www.thecannabist.co/tag/kentucky/
Louisiana,22,0,Not legal,Not legal,No,2015,,No,Yes,http://www.thecannabist.co/tag/louisiana/
Maine,23,1,Not legal,Voter approved, 1999,Recreational measure,No,Yes,Yes,No,http://www.thecannabist.co/tag/maine/
Maryland,24,1,Not legal,Legislation, 2014,No,No,,Yes,Yes,http://www.thecannabist.co/tag/maryland/
Massachusetts,25,1,Not legal,Voter approved, 2012,Recreational measure,No,,Yes,Yes,http://www.thecannabist.co/tag/massachusetts/
Michigan,26,1,Not legal,Voter approved, 2008,Proposed recreational measure failed to make ballot,No,Yes,No,No,http://www.thecannabist.co/tag/michigan/
Minnesota,27,1,Not legal,Legislation, 2014,No,No,Yes,Yes,No,http://www.thecannabist.co/tag/minnesota/
Mississippi,28,0,Not legal,Not legal,No,2014,,Yes,Yes,http://www.thecannabist.co/tag/mississippi/
Missouri,29,0,Not legal,Not legal,Proposed medical measure failed to make ballot,2014,Yes,No,Yes,http://www.thecannabist.co/tag/missouri/
Montana,30,1,Not legal,Voter approved, 2004,Medical measure on ballot; measures to rescind MMJ law and to allow recreational sales failed to make ballot,No,Yes,No,Yes,http://www.thecannabist.co/tag/montana/
Nebraska,31,0,Not legal,Not legal,No,No,Yes,Yes,Yes,http://www.thecannabist.co/tag/nebraska/
Nevada,32,1,Not legal,Voter approved, 2000,Recreational measure,No,Yes,Yes,Yes,http://www.thecannabist.co/tag/nevada/
New Hampshire,33,1,Not legal,Legislation, 2013,No,No,,No,No,http://www.thecannabist.co/tag/new-hampshire/
New Jersey,34,1,Not legal,Legislation, 2009,No,No,,No,Yes,http://www.thecannabist.co/tag/new-jersey/
New Mexico,35,1,Not legal,Legislation, 2007,No,No,,No,No,http://www.thecannabist.co/tag/new-mexico/
New York,36,1,Not legal,Legislation, 2014,No,No,Yes,Yes,Yes,http://www.thecannabist.co/tag/new-york/
North Carolina,37,0,Not legal,Not legal,No,2014,Yes,Yes,Yes,http://www.thecannabist.co/tag/north-carolina/
North Dakota,38,0,Not legal,Not legal,Medical measure,No,Yes,No,Yes,http://www.thecannabist.co/tag/north-dakota/
Ohio,39,1,Not legal,Legislation, 2016,No,No,,Yes,Yes,http://www.thecannabist.co/tag/ohio/
Oklahoma,40,0,Not legal,Not legal,Proposed medical measure expected to appear on future ballot,2015,,No,Yes,http://www.thecannabist.co/tag/oklahoma/
Oregon,41,2,Voter approved, 2014,Voter approved, 1998,No,No,Yes,No,No,http://www.thecannabist.co/tag/oregon/
Pennsylvania,42,1,Not legal,Legislation, 2016,No,No,,No,No,http://www.thecannabist.co/tag/pennsylvania/
Rhode Island,44,1,Not legal,Legislation, 2007,No,No,,Yes,Yes,http://www.thecannabist.co/tag/rhode-island/
South Carolina,45,0,Not legal,Not legal,No,2014,Yes,No,Yes,http://www.thecannabist.co/tag/south-carolina/
South Dakota,46,0,Not legal,Not legal,No,No,,No,Yes,http://www.thecannabist.co/tag/south-dakota/
Tennessee,47,0,Not legal,Not legal,No,2014,Yes,No,No,http://www.thecannabist.co/tag/tennessee/
Texas,48,0,Not legal,Not legal,No,2015,,No,Yes,http://www.thecannabist.co/tag/texas/
Utah,49,0,Not legal,Not legal,No,2014,Yes,No,No,http://www.thecannabist.co/tag/utah/
Vermont,50,1,Not legal,Legislation, 2004,No,No,Yes,Yes,No,http://www.thecannabist.co/tag/vermont/
Virginia,51,0,Not legal,Not legal,No,2015,Yes,No,Yes,http://www.thecannabist.co/tag/virginia/
Washington,53,2,Voter approved, 2012,Voter approved, 1998,No,No,,No,No,http://www.thecannabist.co/tag/washington/
West Virginia,54,0,Not legal,Not legal,No,No,Yes,No,Yes,http://www.thecannabist.co/tag/west-virginia/
Wisconsin,55,0,Not legal,Not legal,No,2013,,No,No,http://www.thecannabist.co/tag/wisconsin/
Wyoming,56,0,Not legal,Not legal,No,2015,,No,No,http://www.thecannabist.co/tag/wyoming/
